127.0.0.1 - - [29/Mar/2024:09:41:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Mar/2024:09:41:08 +0900] "GET /html_prj/day0329/Inline.html HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [29/Mar/2024:09:41:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Mar/2024:09:47:21 +0900] "GET /html_prj/day0329/Inline.html HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:24:21 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:25:50 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 200 758
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:26:19 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 200 760
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:27:06 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:29:44 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:30:58 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:31:01 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:31:05 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:32:25 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:32:28 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:32:32 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:32:42 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:32:44 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:32:50 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:32:58 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:33:04 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:33:17 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 200 923
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:33:39 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:34:19 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 200 909
0:0:0:0:0:0:0:1 - - [29/Mar/2024:10:34:20 +0900] "GET /html_prj/js0329/Embed.html HTTP/1.1" 304 -
