127.0.0.1 - - [15/Mar/2024:09:30:27 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:30:27 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:30:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:30:50 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:33:55 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:33:55 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:33:57 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:33:58 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:33:58 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:33:58 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:33:58 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:33:59 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:33:59 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:33:59 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:33:59 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:34:02 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 200 501
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:34:16 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:35:14 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:35:16 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:35:16 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:35:17 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:35:26 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:36:26 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 200 635
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:36:43 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 200 648
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:36:43 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:36:43 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:36:44 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:36:53 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 200 647
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:36:54 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:36:56 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:37:13 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:37:14 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:37:14 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:37:14 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:37:16 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:37:16 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:37:46 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 200 658
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:38:04 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 200 669
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:38:05 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:38:05 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:38:05 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:38:06 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:38:09 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:38:09 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:38:10 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:38:10 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Mar/2024:09:51:58 +0900] "GET /html_prj/day0315/tr.html HTTP/1.1" 304 -
