0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:36:04 +0900] "GET /theater_prj/asd/images/movie/MOV006.jpg HTTP/1.1" 200 118470
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:36:04 +0900] "GET /theater_prj/asd/images/movie/MOV005.jpg HTTP/1.1" 200 210302
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:36:04 +0900] "GET /theater_prj/asd/images/movie/MOV014.jpg HTTP/1.1" 200 133441
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:36:04 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:36:04 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:13 +0900] "GET /theater_prj/asd/jsp/movieChart.jsp HTTP/1.1" 200 57854
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:13 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:13 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:14 +0900] "GET /common/js/extraTheaters.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:14 +0900] "GET /theater_prj/asd/jsp/index.jsp HTTP/1.1" 200 52276
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:14 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:14 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:17 +0900] "GET /theater_prj/asd/jsp/movieChart.jsp HTTP/1.1" 200 57854
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:17 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:17 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:18 +0900] "GET /theater_prj/asd/jsp/movieChart.jsp HTTP/1.1" 200 57854
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:18 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:18 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:18 +0900] "GET /theater_prj/asd/jsp/movieChart.jsp HTTP/1.1" 200 57854
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:18 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:18 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:18 +0900] "GET /theater_prj/asd/jsp/movieChart.jsp HTTP/1.1" 200 57854
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:18 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:18 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:18 +0900] "GET /theater_prj/asd/jsp/movieChart.jsp HTTP/1.1" 200 57854
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:18 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:18 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:19 +0900] "GET /common/js/extraTheaters.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:19 +0900] "GET /theater_prj/asd/jsp/index.jsp HTTP/1.1" 200 52276
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:19 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:19 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:19 +0900] "GET /common/js/extraTheaters.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:19 +0900] "GET /theater_prj/asd/jsp/index.jsp HTTP/1.1" 200 52276
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:19 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:19 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:21 +0900] "GET /theater_prj/asd/jsp/movieChart.jsp HTTP/1.1" 200 57854
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:21 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:21 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:23 +0900] "GET /theater_prj/asd/jsp/movieChart.jsp HTTP/1.1" 200 57854
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:23 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:23 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:25 +0900] "GET /theater_prj/asd/jsp/ticket.jsp HTTP/1.1" 200 38136
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:27 +0900] "GET /theater_prj/asd/jsp/login.jsp?prevPage=ticket.jsp HTTP/1.1" 200 23980
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:27 +0900] "GET /common/js/extraTheaters.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:27 +0900] "GET /theater_prj/asd/images/common/bg/bg_tabmenu_grade.gif HTTP/1.1" 404 880
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:27 +0900] "GET /theater_prj/asd/images/common/bg/bg_arrow03.png HTTP/1.1" 404 874
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:27 +0900] "GET /theater_prj/asd/images/sprite_icon.png HTTP/1.1" 404 857
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:28 +0900] "POST /theater_prj/asd/jsp/loginAction.jsp HTTP/1.1" 200 1493
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:37:51 +0900] "GET /theater_prj/asd/jsp/ticket.jsp HTTP/1.1" 200 37828
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:38:00 +0900] "GET /common/js/extraTheaters.js HTTP/1.1" 404 841
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:38:01 +0900] "GET /theater_prj/asd/jsp/index.jsp HTTP/1.1" 200 52123
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:38:01 +0900] "GET /theater_prj/asd/images/movie/null HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:38:01 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:38:03 +0900] "GET /theater_prj/asd/jsp/movieChart.jsp HTTP/1.1" 200 57701
0:0:0:0:0:0:0:1 - - [09/Jul/2024:14:38:03 +0900] "GET /theater_prj/asd/images/movie/MOV027.jpg HTTP/1.1" 404 862
