127.0.0.1 - - [18/Mar/2024:09:17:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Mar/2024:09:17:03 +0900] "GET /html_prj/day0318/table_head.html HTTP/1.1" 200 509
0:0:0:0:0:0:0:1 - - [18/Mar/2024:09:17:03 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Mar/2024:09:17:12 +0900] "GET /html_prj/day0318/table_head.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:09:17:14 +0900] "GET /html_prj/day0318/table_head.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:09:17:14 +0900] "GET /html_prj/day0318/table_head.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:09:17:15 +0900] "GET /html_prj/day0318/table_head.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:09:17:15 +0900] "GET /html_prj/day0318/table_head.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:09:17:15 +0900] "GET /html_prj/day0318/table_head.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:09:17:15 +0900] "GET /html_prj/day0318/table_head.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:09:17:15 +0900] "GET /html_prj/day0318/table_head.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:09:17:16 +0900] "GET /html_prj/day0318/table_head.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Mar/2024:09:17:18 +0900] "GET /html_prj/day0318/table_head.html HTTP/1.1" 200 520
