127.0.0.1 - - [14/Mar/2024:09:30:36 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:30:36 +0900] "GET /html_prj/day0312/a_tag.html HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:30:36 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.10.231 - - [14/Mar/2024:09:31:20 +0900] "GET /html_prj/day0312/a_tag.html HTTP/1.1" 200 489
192.168.10.231 - - [14/Mar/2024:09:31:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [14/Mar/2024:09:36:29 +0900] "GET /html_prj/day0312/a_tag.html HTTP/1.1" 200 545
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:13:52 +0900] "GET /html_prj/day0314/images/seoul_map.png HTTP/1.1" 200 276670
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:14:04 +0900] "GET /html_prj/day0314/images/seoul_map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:15:50 +0900] "GET /html_prj/day0314/images/seoul_map.png HTTP/1.1" 200 116668
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:17:41 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 200 285
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:17:41 +0900] "GET /html_prj/day0314/images/seoul_map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:39:25 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 200 474
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:39:25 +0900] "GET /html_prj/day0314/images/seoul_map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:40:04 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:43:44 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 200 582
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:43:44 +0900] "GET /html_prj/day0314/images/seoul_map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:46:42 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 200 703
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:46:43 +0900] "GET /html_prj/day0314/images/seoul_map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:47:24 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 200 702
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:51:20 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:51:20 +0900] "GET /html_prj/day0314/images/seoul_map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:51:33 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:51:57 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:52:14 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [14/Mar/2024:10:52:22 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:34:20 +0900] "GET /html_prj/day0312/img2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:34:20 +0900] "GET /html_prj/common/images/google_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:34:20 +0900] "GET /html_prj/day0312/images/KakaoTalk_20240312_113855813.jpg HTTP/1.1" 200 771990
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:34:20 +0900] "GET /html_prj/day0312/images/google_logo.png HTTP/1.1" 200 4524
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:34:25 +0900] "GET /html_prj/day0312/img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:34:25 +0900] "GET /html_prj/day0312/images/google_logo.webp/ HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:34:25 +0900] "GET /html_prj/common/images/google_logo.webp/ HTTP/1.1" 404 863
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:35:15 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 200 186
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:35:15 +0900] "GET /html_prj/day0314/frame2.html HTTP/1.1" 200 264
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:36:36 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:36:36 +0900] "GET /html_prj/day0314/frame2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:36:50 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:36:50 +0900] "GET /html_prj/day0314/frame2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:37:04 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:37:04 +0900] "GET /html_prj/day0314/frame2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:37:15 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:37:20 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:37:20 +0900] "GET /html_prj/day0314/frame2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:37:21 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:37:21 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:37:21 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:39:39 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:39:39 +0900] "GET /html_prj/day0314/frame2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:41:30 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:41:30 +0900] "GET /html_prj/day0314/frame2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:41:32 +0900] "GET /html_prj/day0314/use_map.html HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:42:03 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:42:04 +0900] "GET /html_prj/day0314/use_map.html HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:42:10 +0900] "GET /html_prj/day0314/use_map.html HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:42:11 +0900] "GET /html_prj/day0314/use_map.html HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:42:12 +0900] "GET /html_prj/day0314/use_map.html HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:42:13 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:42:13 +0900] "GET /html_prj/day0314/frame2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:42:14 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:42:14 +0900] "GET /html_prj/day0314/images/seoul_map.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:42:38 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:43:45 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 200 330
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:43:45 +0900] "GET /html_prj/day0314/frame2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:43:46 +0900] "GET /html_prj/day0314/map.html HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:47:14 +0900] "GET /html_prj/day0314/frame.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [14/Mar/2024:11:47:14 +0900] "GET /html_prj/day0314/frame2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2024:12:26:38 +0900] "GET /html_prj/day0314/table.html HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [14/Mar/2024:12:28:15 +0900] "GET /html_prj/day0314/table.html HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [14/Mar/2024:12:31:42 +0900] "GET /html_prj/day0314/table.html HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [14/Mar/2024:12:32:07 +0900] "GET /html_prj/day0314/table.html HTTP/1.1" 200 501
